,id_disciplina,nome_componete_curricular,taxa_reprov,n
249,28122,PATOLOGIAS E AGRAVOS NA GERIATRIA I,0.2857142857142857,98
250,18104,PRÓTESE PARCIAL REMOVÍVEL I,0.28444444444444444,225
251,31318,DIREITOS E DEVERES DO TRABALHADOR,0.2826086956521739,46
252,28087,INFORMÁTICA EM SAÚDE,0.2823529411764706,85
253,26988,A IMPORTÂNCIA AMBIENTAL E ECONÔMICA DA ABELHA SEM FERRÃO,0.28205128205128205,117
254,28123,CUIDADOS NA PESSOA IDOSA,0.28125,96
255,28186,SAÚDE COLETIVA,0.2805755395683453,139
256,18098,ANATOMIA E ESCULTURA DENTAL I,0.2801556420233463,257
257,22432,CRIAÇÃO DE GIRINOS (GIRINAGEM),0.28,150
258,20438,ANATOMIA E FISIOLOGIA APLICADAS À NUTRIÇÃO,0.2798053527980535,411
259,28116,ÉTICA PROFISSIONAL E RELAÇÕES INTERPESSOAIS,0.27956989247311825,93
260,22419,INTRODUÇÃO À AQUICULTURA,0.2795031055900621,161
261,18694,ORGANIZAÇÃO AGROINDUSTRIAL,0.2782101167315175,514
262,18695,INTRODUÇÃO À CIÊNCIA E TECNOLOGIA DE ALIMENTOS,0.2770137524557957,509
263,18095,BIOSSEGURANÇA E ERGONOMIA NO LABORATÓRIO DE PRÓTESE DENTÁRIA,0.27635327635327633,351
264,27093,ÉTICA PROFISSIONAL,0.27631578947368424,152
265,27232,ZOOTECNIA GERAL,0.2761904761904762,105
266,20176,PRIMEIROS SOCORROS,0.2756183745583039,283
267,28125,UNIDADE CURRICULAR DE EXTENSÃO TÉCNICA I,0.27472527472527475,91
268,28782,ATIVIDADE INTEGRADORA I DO TEMPO COMUNIDADE OU TRABALHO,0.273972602739726,73
269,28743,LÍNGUA INGLESA - 1º ANO EJA - EPT,0.273972602739726,73
270,28783,INFORMÁTICA BÁSICA,0.273972602739726,73
271,28779,MEIO AMBIENTE E DESENVOLVIMENTO  SUSTENTÁVEL,0.273972602739726,73
272,28183,BIOSSEGURANÇA NOS SERVIÇOS DE SAÚDE,0.2727272727272727,132
273,18094,ÉTICA E LEGISLAÇÃO,0.2717391304347826,368
274,18681,PISCICULTURA,0.26895119418483904,963
275,27225,DIREITOS HUMANOS E CIDADANIA,0.26851851851851855,108
276,20189,BIOLOGIA CELULAR,0.26811594202898553,276
277,18606,FÍSICA - 1º ANO,0.26756352765321373,669
278,27101,ANATOMIA HUMANA E TERMINOLOGIA EM SAÚDE,0.2636363636363636,110
279,27321,REDAÇÃO TÉCNICO-CIENTÍFICA,0.2631578947368421,342
280,28030,UNIDADE CURRICULAR DE EXTENSÃO TÉCNICA II,0.26229508196721313,61
281,26963,TRABALHO DE CONCLUSÃO DE CURSO (TCC),0.26229508196721313,61
282,27158,PSICOLOGIA APLICADA A ODONTOLOGIA,0.26143790849673204,153
283,21161,PREVENÇÃO DE ACIDENTES DOMÉSTICOS E PRIMEIROS SOCORROS,0.2604166666666667,288
284,28781,COMUNICAÇÃO E LINGUAGEM,0.2602739726027397,73
285,28754,QUÍMICA - 1º ANO EJA - EPT,0.2602739726027397,73
286,28748,HISTÓRIA - 1º ANO EJA - EPT,0.2602739726027397,73
287,28772,ATIVIDADE INTEGRADORA DAS CIÊNCIAS HUMANAS E SUAS TECNOLOGIAS I,0.2602739726027397,73
288,18672,SOLOS,0.26022727272727275,880
289,27233,GESTÃO DO TRABALHO PARA ATENDIMENTO AO PÚBLICO,0.25925925925925924,108
290,21167,INFORMÁTICA NA ATENÇÃO A PESSOA IDOSA,0.2589641434262948,251
291,27228,NOÇÕES BÁSICAS DA ANATOMIA ANIMAL,0.2571428571428571,105
292,18621,SOCIOLOGIA - 1º ANO,0.25705794947994054,673
